"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping"
"MolecularSequence","","","",0,*,"","","","","Information about a biological sequence","Raw data describing a biological sequence.","","","","","","","","","",,,,,"",,,,"MolecularSequence",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}msq-3:Only 0 and 1 are valid for coordinateSystem {coordinateSystem = 1 or coordinateSystem = 0}","Entity. Role, or Act"
"MolecularSequence.coordinateSystem","","","",1,1,"","","Y","integer {[]} {[]}
","Base number of coordinate system (0 for 0-based numbering or coordinates, inclusive start, exclusive end, 1 for 1-based numbering, inclusive start, inclusive end)","Whether the sequence is numbered starting at 0 (0-based numbering or coordinates, inclusive start, exclusive end) or starting at 1 (1-based numbering, inclusive start and inclusive end).","","","","","","","","","",,,,,"",,,,"MolecularSequence.coordinateSystem",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.patient","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","Who and/or what this is about","The patient whose sequencing results are described by this resource.","","","","","","","","","",,,,,"",,,,"MolecularSequence.patient",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.specimen","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
","Specimen used for sequencing","Specimen used for sequencing.","","","","","","","","","",,,,,"",,,,"MolecularSequence.specimen",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.device","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","The method for sequencing","The method for sequencing, for example, chip information.","","","","","","","","","",,,,,"",,,,"MolecularSequence.device",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.performer","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Who should be responsible for test result","The organization or lab that should be responsible for this result.","","","","","","","","","",,,,,"",,,,"MolecularSequence.performer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quantity","","","",0,1,"","","Y","Quantity {[]} {[]}
","The number of copies of the sequence of interest.  (RNASeq)","The number of copies of the sequence of interest. (RNASeq).","","","","","","","","","",,,,,"",,,,"MolecularSequence.quantity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.referenceSeq","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","A sequence used as reference","A sequence that is used as a reference to describe variants that are present in a sequence analyzed.","","","","","","","","","",,,,,"",,,,"MolecularSequence.referenceSeq",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
msq-5:GenomeBuild and chromosome must be both contained if either one of them is contained {(chromosome.empty() and genomeBuild.empty()) or (chromosome.exists() and genomeBuild.exists())}msq-6:Have and only have one of the following elements in referenceSeq : 1. genomeBuild ; 2 referenceSeqId; 3. referenceSeqPointer;  4. referenceSeqString; {(genomeBuild.count()+referenceSeqId.count()+ referenceSeqPointer.count()+ referenceSeqString.count()) = 1}"
"MolecularSequence.referenceSeq.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"MolecularSequence.referenceSeq.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"MolecularSequence.referenceSeq.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"MolecularSequence.referenceSeq.chromosome","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Chromosome containing genetic finding","Structural unit composed of a nucleic acid molecule which controls its own replication through the interaction of specific proteins at one or more origins of replication ([SO:0000340](http://www.sequenceontology.org/browser/current_svn/term/SO:0000340)).","","","","","","","","","",,"example","Chromosome number for human.","http://hl7.org/fhir/ValueSet/chromosome-human","",,,,"MolecularSequence.referenceSeq.chromosome",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.referenceSeq.genomeBuild","","","",0,1,"","","Y","string {[]} {[]}
","The Genome Build used for reference, following GRCh build versions e.g. 'GRCh 37'","The Genome Build used for reference, following GRCh build versions e.g. 'GRCh 37'.  Version number must be included if a versioned release of a primary build was used.","","","","","","","","","",,,,,"",,,,"MolecularSequence.referenceSeq.genomeBuild",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.referenceSeq.orientation","","","",0,1,"","","Y","code {[]} {[]}
","sense | antisense","A relative reference to a DNA strand based on gene orientation. The strand that contains the open reading frame of the gene is the ""sense"" strand, and the opposite complementary strand is the ""antisense"" strand.","","","","","","","","","",,"required","Type for orientation.","http://hl7.org/fhir/ValueSet/orientation-type|4.0.1","",,,,"MolecularSequence.referenceSeq.orientation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.referenceSeq.referenceSeqId","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Reference identifier","Reference identifier of reference sequence submitted to NCBI. It must match the type in the MolecularSequence.type field. For example, the prefix, “NG_” identifies reference sequence for genes, “NM_” for messenger RNA transcripts, and “NP_” for amino acid sequences.","","","","","","","","","",,"example","Reference identifier.","http://hl7.org/fhir/ValueSet/sequence-referenceSeq","",,,,"MolecularSequence.referenceSeq.referenceSeqId",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.referenceSeq.referenceSeqPointer","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MolecularSequence]]}
","A pointer to another MolecularSequence entity as reference sequence","A pointer to another MolecularSequence entity as reference sequence.","","","","","","","","","",,,,,"",,,,"MolecularSequence.referenceSeq.referenceSeqPointer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.referenceSeq.referenceSeqString","","","",0,1,"","","Y","string {[]} {[]}
","A string to represent reference sequence","A string like ""ACGT"".","","","","","","","","","",,,,,"",,,,"MolecularSequence.referenceSeq.referenceSeqString",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.referenceSeq.strand","","","",0,1,"","","Y","code {[]} {[]}
","watson | crick","An absolute reference to a strand. The Watson strand is the strand whose 5'-end is on the short arm of the chromosome, and the Crick strand as the one whose 5'-end is on the long arm.","","","","","","","","","",,"required","Type for strand.","http://hl7.org/fhir/ValueSet/strand-type|4.0.1","",,,,"MolecularSequence.referenceSeq.strand",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.referenceSeq.windowStart","","","",0,1,"","","Y","integer {[]} {[]}
","Start position of the window on the  reference sequence","Start position of the window on the reference sequence. If the coordinate system is either 0-based or 1-based, then start position is inclusive.","","","","","","","","","",,,,,"",,,,"MolecularSequence.referenceSeq.windowStart",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.referenceSeq.windowEnd","","","",0,1,"","","Y","integer {[]} {[]}
","End position of the window on the reference sequence","End position of the window on the reference sequence. If the coordinate system is 0-based then end is exclusive and does not include the last position. If the coordinate system is 1-base, then end is inclusive and includes the last position.","","","","","","","","","",,,,,"",,,,"MolecularSequence.referenceSeq.windowEnd",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.variant","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Variant in sequence","The definition of variant here originates from Sequence ontology ([variant_of](http://www.sequenceontology.org/browser/current_svn/term/variant_of)). This element can represent amino acid or nucleic sequence change(including insertion,deletion,SNP,etc.)  It can represent some complex mutation or segment variation with the assist of CIGAR string.","","","","","","","","","",,,,,"",,,,"MolecularSequence.variant",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.variant.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"MolecularSequence.variant.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"MolecularSequence.variant.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"MolecularSequence.variant.start","","","",0,1,"","","Y","integer {[]} {[]}
","Start position of the variant on the  reference sequence","Start position of the variant on the  reference sequence. If the coordinate system is either 0-based or 1-based, then start position is inclusive.","","","","","","","","","",,,,,"",,,,"MolecularSequence.variant.start",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.variant.end","","","",0,1,"","","Y","integer {[]} {[]}
","End position of the variant on the reference sequence","End position of the variant on the reference sequence. If the coordinate system is 0-based then end is exclusive and does not include the last position. If the coordinate system is 1-base, then end is inclusive and includes the last position.","","","","","","","","","",,,,,"",,,,"MolecularSequence.variant.end",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.variant.observedAllele","","","",0,1,"","","Y","string {[]} {[]}
","Allele that was observed","An allele is one of a set of coexisting sequence variants of a gene ([SO:0001023](http://www.sequenceontology.org/browser/current_svn/term/SO:0001023)).  Nucleotide(s)/amino acids from start position of sequence to stop position of sequence on the positive (+) strand of the observed  sequence. When the sequence  type is DNA, it should be the sequence on the positive (+) strand. This will lay in the range between variant.start and variant.end.","","","","","","","","","",,,,,"",,,,"MolecularSequence.variant.observedAllele",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.variant.referenceAllele","","","",0,1,"","","Y","string {[]} {[]}
","Allele in the reference sequence","An allele is one of a set of coexisting sequence variants of a gene ([SO:0001023](http://www.sequenceontology.org/browser/current_svn/term/SO:0001023)). Nucleotide(s)/amino acids from start position of sequence to stop position of sequence on the positive (+) strand of the reference sequence. When the sequence  type is DNA, it should be the sequence on the positive (+) strand. This will lay in the range between variant.start and variant.end.","","","","","","","","","",,,,,"",,,,"MolecularSequence.variant.referenceAllele",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.variant.cigar","","","",0,1,"","","Y","string {[]} {[]}
","Extended CIGAR string for aligning the sequence with reference bases","Extended CIGAR string for aligning the sequence with reference bases. See detailed documentation [here](http://support.illumina.com/help/SequencingAnalysisWorkflow/Content/Vault/Informatics/Sequencing_Analysis/CASAVA/swSEQ_mCA_ExtendedCIGARFormat.htm).","","","","","","","","","",,,,,"",,,,"MolecularSequence.variant.cigar",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.variant.variantPointer","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation]]}
","Pointer to observed variant information","A pointer to an Observation containing variant information.","","","","","","","","","",,,,,"",,,,"MolecularSequence.variant.variantPointer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.observedSeq","","","",0,1,"","","Y","string {[]} {[]}
","Sequence that was observed","Sequence that was observed. It is the result marked by referenceSeq along with variant records on referenceSeq. This shall start from referenceSeq.windowStart and end by referenceSeq.windowEnd.","","","","","","","","","",,,,,"",,,,"MolecularSequence.observedSeq",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","An set of value as quality of sequence","An experimental feature attribute that defines the quality of the feature in a quantitative way, such as a phred quality score ([SO:0001686](http://www.sequenceontology.org/browser/current_svn/term/SO:0001686)).","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"MolecularSequence.quality.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"MolecularSequence.quality.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"MolecularSequence.quality.type","","","",1,1,"","","Y","code {[]} {[]}
","indel | snp | unknown","INDEL / SNP / Undefined variant.","","","","","","","","","",,"required","Type for quality report.","http://hl7.org/fhir/ValueSet/quality-type|4.0.1","",,,,"MolecularSequence.quality.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.standardSequence","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Standard sequence for comparison","Gold standard sequence used for comparing against.","","","","","","","","","",,"example","Reference identifier of the sequence that used to mark the quality of tested samples.","http://hl7.org/fhir/ValueSet/sequence-quality-standardSequence","",,,,"MolecularSequence.quality.standardSequence",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.start","","","",0,1,"","","Y","integer {[]} {[]}
","Start position of the sequence","Start position of the sequence. If the coordinate system is either 0-based or 1-based, then start position is inclusive.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.start",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
